idx,name,category,price,description,color,temp_level,hot_pick,regdate,hue,saturation,lightness,image_url,url
101,HS STRIPE KNIT COLLAR SHIRT_NAVY,top,52200,부드러운 이미지를 주는 니트 티셔츠로 많은 남성들의 남친룩을 담당합니다.,navy,2,0,2025-05-21 15:43,218,39,12,product_images/101shirtshort_navy.webp,https://www.musinsa.com/products/3998728
102,ASI 에센셜 코튼 헨리넥 티셔츠_피그먼트 올리브,top,33900,"봄, 가을에 부드러운 이미지와 빈티지한 느낌을 동시에 줄 수 있는 다용도 티셔츠입니다.",olive,1,0,2025-05-21 15:43,70,15,32,product_images/102_shirtlong_olive.webp,https://www.musinsa.com/products/4852646
103,오버핏 1:1 스트라이프 반팔티,top,19900,캐주얼한 스트라이프로 더운 날 포인트로 입기 좋은 티셔츠입니다.,grey,3,2,2025-05-21 15:43,330,4,10,product_images/103_shirt-short_grey.webp,https://www.musinsa.com/products/5033156
104,퓨어코튼 펀칭 카라 니트,top,45000,캐주얼한 색상과 단정한 카라 니트의 조합으로 인기가 많은 상품입니다.,green,2,0,2025-05-21 15:43,144,56,22,product_images/104_shirt-short_green.webp,https://www.musinsa.com/products/2775687
201,썸머 시어서커 밴딩 팬츠,pants,24900,편안한 밴딩과 주름이 인상적인 바지입니다.,black,2,1,2025-05-21 15:43,60,10,10,product_images/201_pants-long_black.webp,https://www.musinsa.com/products/3246389
202,BOY DENIM PANELLED,pants,189000,와이드한 밑단과 매력적인 컬러가 돋보이는 데님 바지입니다.,blue,1,0,2025-05-21 15:43,183,15,31,product_images/202_pants-long_blue.webp,https://www.musinsa.com/products/3773225
203,아디다스 x YESEYESEE 트랙 팬츠,pants,89990,좁아지는 밑단과 발목 위로 떨어지는 기장감이 이쁜 트랙 팬츠.,white,2,1,2025-05-21 15:43,240,1,84,product_images/203_pants-long_white.webp,https://www.musinsa.com/products/4336115
204,피그먼트 버뮤다 팬츠,pants,56050,트렌디한 6부 느낌으로 더울 때 입기 좋은 반바지.,grey,3,1,2025-05-21 15:43,26,9,45,product_images/204_pants-short_grey.webp,https://www.musinsa.com/products/4929096
301,NJ3BR05A 바르텔 자켓_BLACK,outer,125300,노스페이스와 무신사가 만났다 트렌디한 핏으로 여심 사로잡기 프로젝트.,black,2,0,2025-05-21 15:43,270,5,16,product_images/301_outer_black.webp,https://www.musinsa.com/products/4927059
302,WASHED NYLON WIND BREAKER-GREY,outer,90300,워시드 패턴의 나일론 바람막이 등장 요즘 같은 때에 입기 좋은 가벼운 아우터.,grey,1,0,2025-05-21 15:43,60,1,50,product_images/302_outer_grey.webp,https://www.musinsa.com/products/3819630
303,플레이버 스탠넥 바람막이 웜업 자켓 페일 그린,outer,63600,시원한 색상으로 더운 날 들고다니며 걸치기 좋은 패션 바람막이.,mint,3,2,2025-05-21 15:43,213,12,83,product_images/303_outer_rmint.webp,https://www.musinsa.com/products/4861845
304,SST 트랙탑 JX8972,outer,105000,트렌디한 아디다스의 화이트 트랙탑.,white,2,0,2025-05-21 15:43,60,6,93,product_images/304_outer_white.webp,https://www.musinsa.com/products/4943732
401,푸마 클럽 2 에라,shoes,34990,질리지 않는 디자인으로 사랑 받는 푸마 클럽 2.,navy,2,1,2025-05-21 15:43,240,6,20,product_images/401_shoes_black.webp,https://www.musinsa.com/products/4723783
402,경량 클래식 더비,shoes,89000,추운 겨울 날 그녀를 꼬시기 위한 전략. 클래식한 로퍼.,black,1,0,2025-05-21 15:43,120,4,9,product_images/402_shoes_black.webp,https://www.musinsa.com/products/4306219
403,에라 - 트루 화이트,shoes,34990,더운 여름 시원한 색과 디자인으로 이쁨 받는 반스의 스테디셀러.,white,3,4,2025-05-21 15:43,252,10,90,product_images/403_shoes_white.webp,https://www.musinsa.com/products/165996
404,GAZELLE INDOOR JI0324,shoes,111300,"따뜻한 색감으로 가을, 겨울 내내 사랑받는 아디다스 스니커즈.",brown,1,0,2025-05-21 15:43,355,22,29,product_images/404_shoes_brown.webp,https://www.musinsa.com/products/4621773
501,TCM coldice cap,etc,34990,부시시한 요즘 날씨 얹기만 해도 힙해지는 패션 아이템.,green,2,2,2025-05-21 15:43,60,7,17,product_images/501_etc_green.webp,https://www.musinsa.com/products/5037017
502,RC OWEN SUNGLASS MATTE BLACK,etc,32900,요즘 같이 햇살이 따가운 날 패션과 건강을 모두 챙기는 픽.,black,3,1,2025-05-21 15:43,216,8,12,product_images/502_etc_black.webp,https://www.musinsa.com/products/5018547
503,940UNST BASIC OUTLINE NEYYAN CHO,etc,35700,"내 부시시함은 스타일이야, 힙한 야구 모자.",black,2,2,2025-05-21 15:43,20,16,18,product_images/503_etc_black.webp,https://www.musinsa.com/products/4827820
504,RC B019 BLACK GLASS,etc,22710,흰눈이 내리는 날 소박한 나의 소원은 이런 지적인 안경을 쓰고 나타나는 왕자님.,black,1,0,2025-05-21 15:43,180,4,14,product_images/504_etc_black.webp,https://www.musinsa.com/products/1515680
601,코튼 브이넥 니트 워시드 네이비,top,64000,일교차가 심한 요즘 날씨에 깔끔하고 입기 좋은 니트,Black,2,0,2025-05-22 0:48,220,28,17,product_images/601_navy_knitwear.webp,https://www.musinsa.com/products/4309845
602,TATTOO T-SHIRTS RED,top,68000,"앞판과 소매, 뒷판에 존재하는 타투 그래픽 디테일들이 있습니다.",Brown,3,0,2025-05-22 0:48,356,49,47,product_images/602_deepredT.webp,https://www.musinsa.com/products/4936781
603,NARAKA SWEATSHIRT BLACK,top,53900,깔끔한 스타일의 맨투맨,Black,2,0,2025-05-22 0:48,0,0,11,product_images/603_blackmantoman.webp,https://www.musinsa.com/products/3907394
604,HERITAGE SWEAT MTM_32YC5A52,top,99000,축구 헤리티지 컨셉의 맨투맨,White,2,0,2025-05-22 0:48,210,16,93,product_images/604_hegitage_sweat.webp,https://www.musinsa.com/products/4809240
605,[데일리룸 X 시즈] 오디너리 크롭 스트라이프 하프 셔츠 [WHITE] 단품/SET,top,56800,깔끔한 셔츠,Gray,3,0,2025-05-22 9:25,348,4,74,product_images/605_Odinner.webp,https://www.musinsa.com/products/5065531
606,[쿨탠다드] 레귤러 스웨트셔츠 [멜란지 라이트 그레이],top,29490,흡한속건 기능으로 쾌적한 착용감의 쿨탠다드 스웨트 셔츠,Gray,2,0,2025-05-22 9:29,0,3,77,product_images/606_swatershirts.webp,https://www.musinsa.com/products/4655078
607,V.S.C HALF ZIP SWEAT(TRACK&FIELD)_1%OATMEAL,top,80100,고급원단으로 오래도록 착용 가능한 옷,Beige,2,0,2025-05-22 9:31,28,18,81,product_images/607_HALFZIP.webp,https://www.musinsa.com/products/4754816
608,레드 하트로고 맨투맨 - 블랙 / BFUSW035730001,top,234990,브랜드가 멋있어서 옷도 예쁨,Black,2,0,2025-05-22 9:33,270,10,11,product_images/608_RedHeartLogo.webp,https://www.musinsa.com/products/4774647
609,스몰 트위치 로고 맨투맨 라임,top,71100,탄탄하면서 부드러운 코튼 폴리 원단사용,Beige,2,0,2025-05-22 9:34,50,46,80,product_images/609_SmallTwitch.webp,https://www.musinsa.com/products/4706036
610,빅 트위치 로고 다잉 반팔 맨투맨 피그먼트 블루,top,71100,단단하면서 시원한 반팔 맨투맨,Blue,3,0,2025-05-22 9:36,215,30,43,product_images/610_BigTwitchLogo.webp,https://www.musinsa.com/products/4860365
611,베이직 타이포 로고 맨투맨 핑크,top,55300,세미오버핏으로 적당히 루즈하게 입을 수 있는 남/여  공통,Red,2,0,2025-05-22 9:38,6,42,60,product_images/611_BasicTifo.webp,https://www.musinsa.com/products/4731595
612,시그니처 키키 와펜 맨투맨 그린,top,48300,카키색의 세미오버핏으로 캐쥬얼한 옷,Gray,2,0,2025-05-22 9:40,89,10,49,product_images/612_Signicherkiki.webp,https://www.musinsa.com/products/4680449
613,키키 레오 로고 맨투맨 네이비,top,55300,앞면에 배색 컬러의 키키와 레오 그래픽이 포인트,Blue,2,0,2025-05-22 9:42,226,36,21,product_images/613_kikiLeO.webp,https://www.musinsa.com/products/4785917
614,(M) 스크리블 크루넥 라이트 블루 SCRIBBLE CREWNECK LIGHT BLUE,top,945000,멋있으면서 매우 비쌈,Cyan,2,0,2025-05-22 9:43,207,15,88,product_images/614_ScleebleLight.webp,https://www.musinsa.com/products/4753611
615,ASI 에센셜 컷오프 피그먼트 맨투맨 티셔츠_차콜,top,36900,워싱감과 컷오프한 절개라인이 돋보이는 컷오프 피그먼트 맨투맨 티셔츠,Black,2,0,2025-05-22 9:45,0,9,19,product_images/615_ASIEsentio.webp,https://www.musinsa.com/products/4768149
616,MIL SERIES SWEAT(A.F. ACADEMY)_BLUE,top,84600,밝은데 부담스럽지 않은 옷,Blue,2,0,2025-05-22 9:49,218,27,55,product_images/616_MILSERIES.webp,https://www.musinsa.com/products/4754801
617,[아웃스탠딩×패션플래닛]MIGHTY TIGER LOGO SWEAT_BLACK,top,75600,호랑이를 포인트로 하여 정체성을 보여주는 옷,Black,2,0,2025-05-22 9:51,336,9,11,product_images/617_MIGHTYTIGER.webp,https://www.musinsa.com/products/4721701
619,C 로고 다잉 맨투맨 Pink,top,80100,남녀노소 모두한테 어울리는 맨투맨,Red,2,0,2025-05-22 9:55,358,33,83,product_images/619_CLOGODINg.webp,https://www.musinsa.com/products/4756506
620,코멘트 헤비코튼 맨투맨 그린 KMMT6859,top,38900,에즈카톤만의 적당히 여유로운 EZ루즈핏 실루엣,Green,2,0,2025-05-22 9:57,142,21,23,product_images/620_ComentGreen.webp,https://www.musinsa.com/products/4723627
